"measurement_id","x_acf1_int","x_acf10_int","diff1_acf1_int","diff1_acf10_int","diff2_acf1_int","diff2_acf10_int","max_kl_shift_int","time_kl_shift_int","outlierinclude_mdrmd_int","ARCH.LM_int","max_level_shift_int","time_level_shift_int","ac_9_int","crossing_points_int","max_var_shift_int","time_var_shift_int","entropy_int","nonlinearity_int","embed2_incircle_int","spreadrandomlocal_meantaul_int","flat_spots_int","x_pacf5_int","diff1x_pacf5_int","diff2x_pacf5_int","firstmin_ac_int","std1st_der_int","arch_acf_int","garch_acf_int","arch_r2_int","garch_r2_int","stability_int","firstzero_ac_int","trev_num_int","alpha_int","beta_int","nperiods_int","seasonal_period_int","trend_int","spike_int","linearity_int","curvature_int","e_acf1_int","e_acf10_int","walker_propcross_int","hurst_int","unitroot_kpss_int","histogram_mode_int","unitroot_pp_int","localsimple_taures_int","lumpiness_int","motiftwo_entro3_int"
"00e19ae8-3da9-4e76-b9f6-3f565b3e5f06_2WLT",0.999948218068554,9.99430514930674,0.629640328705523,0.67823330389071,-0.216686394392778,0.166252882912879,0.000917999491616076,55948,0.447277374039431,0.999999998675762,0.00590167971540767,38871,0.999533978200144,1,8.27768037786936e-06,38876,0.20127269822501,0.00640065191826177,0.274991096622195,18.97,6053,0.99989644134677,0.414421607422113,0.13529039770009,40412,2.33821169572443e-05,0.541865761420994,0.000688536932079424,0.496330253404231,0.0576357183326064,0.999879245145223,21015,7.80903271055823e-13,0.999899921704938,0.507770192210365,0,1,0.999997911258224,1.47832535920846e-20,239.830871071185,0.855410073860521,0.999853576501284,9.95527584471685,1.73861640906167e-05,0.999954177318763,287.986165973471,1.25,0.014984832895029,11,3.4108657061494e-15,0.693521068580916
"00f1d52e-03cf-4031-a616-9a66f961d994_2WH3",0.999949381036058,9.99443291182843,0.417622016575156,0.565292162270878,-0.527835034731949,0.696137303491911,7.68813334497559e-05,1979,-0.140178958966312,0.999999999395308,0.0023233795532267,45653,0.999544430050864,1,8.83942423496025e-07,40890,0.20059166402251,0.0485911122543974,0.292654652755823,18.99,6238,0.999898767321103,0.30823212252121,0.353247164142702,42441,1.26166047920214e-05,5.14983610767994,0.00015599181930266,0.375025121699592,0.0251923819406338,1.00008009605558,21946,2.5353721054865e-13,0.973530222897737,0.386906328486069,0,1,0.999999305680661,8.11256604431951e-22,244.741099189557,2.79189991823482,0.99988771150317,9.9661769795477,1.66942121166592e-05,0.999954177318763,299.311000887493,-1.25,0.0686535168205458,9,3.06064292765337e-16,0.693514408447597
"00f1d52e-03cf-4031-a616-9a66f961d994_327T",0.999949907866426,9.9944908536679,-0.376638171099317,0.442956525341144,-0.698929040306962,1.16025981827678,0.000122449816179016,58479,1.66942121166969e-05,0.999999999792912,0.00109225518157495,28512,0.999549172724188,1,1.57204832805404e-07,28517,0.200590513589796,7.0226573307944e-05,0.285300468741771,19,5998,0.999899820792749,0.174004082153072,0.835727639614267,42365,6.86799550812059e-06,8.29137353668101,1.02752912024622e-05,0.457025588410638,0.00236657303183755,1.00011682509835,21927,2.09908997416513e-13,0.655921318889155,0.00010004376186936,0,1,0.999999994757155,4.47258942226374e-26,244.745746953199,0.0231232129473395,0.995498294556443,9.75066858010202,1.66944908180301e-05,0.999954177318763,299.600319632083,0.25,0.00122689827319818,1,1.88098950577167e-18,0.693524724326623
"0148fd23-2066-4fb4-aadb-9ba294ed4ab1_2VSP",0.999949564428897,9.99445311477888,-0.312957368515269,1.55731046087663,-0.843624280543748,3.88149574003092,6.40315055778649e-05,58380,0.0580781943841608,0.999999999397974,0.00118638421652606,55093,0.999546083582119,1,1.62385932061764e-07,55087,0.200564918763708,0.0228671754471624,0.289624107683797,18.98,6125,0.999899133923174,0.43997651630071,0.831454641049907,42386,1.21187455118671e-05,7.62211471361551,0.0134949987063259,0.521687880674017,0.119169848681649,1.00008252806443,21939,2.302436086025e-13,0.709580958410869,0.240757658353859,0,1,0.999999861559423,3.86527712801416e-23,244.749526816909,-0.228089626484814,0.999433420395437,9.93036813845418,1.66942121166592e-05,0.999954177318763,299.448655118826,0.75,0.00685189446597787,1,4.19680393426322e-17,0.693524423839661
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2ZX6",0.999975023463207,9.99725278211155,0.306204653463482,0.206879052210763,-0.20102754318914,0.394678796773188,0.00107667840100913,30022,0.0127184749509865,0.999999996655901,0.00923801843177818,30014,0.999775206510942,1,2.18829942400201e-05,30019,0.188762183029272,0.000201541060988595,0.264647023198252,18.98,12676,0.999950048981064,0.198968298408561,0.356106197650216,84622,3.50926156114094e-05,0.0598781904186314,9.51318815638979e-07,0.0626320630985353,4.81527900297523e-07,0.999995277237801,43911,3.85581231758202e-12,0.999899969134175,0.0303897524261817,0,1,0.999994738621707,1.35115446682243e-20,346.195749145077,-4.16050110382163,0.99987648485157,9.98011390795628,8.34278849362611e-06,0.999954177318763,499.837446177326,0.75,-0.0807380101399087,2,2.49478971904237e-14,0.69325094230097
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2WLT",0.999949939761914,9.99449434475204,-0.722600119773381,3.3133577090756,-0.890247836389684,4.59583874514173,2.24379852532099e-05,59436,0.389592170747186,0.999999999810235,0.000925958729661391,40892,0.999549457608524,1,8.96719388689769e-08,32249,0.200598884796009,0.000314674759684572,0.284705758389969,19,6004,0.999899884577803,0.628845799306477,1.12213931909936,42336,1.03389485738638e-05,8.79905209367916,1.58756422501446,0.609818592057832,0.705323128497266,0.999883457992214,21916,2.17406294181159e-13,0.449573934146427,0.00011780800600046,0,1,0.999999991828125,1.05219842211167e-25,244.696610415695,0.0188395970143766,0.993460481186114,9.80187402196515,1.67009035188804e-05,0.999954177318763,299.502088384706,1.25,-0.000232600024671675,1,4.85720047928162e-18,0.693524836578766
"01a1aa11-e66e-45a6-b098-ad061b7aa7a4_2WH7",0.999949920438722,9.9944921875017,-0.761889412450424,3.9423885849059,-0.905434255524482,5.1912865339818,2.17754904946002e-05,59578,1.66930974041524e-05,0.999999999799555,0.00103353042616855,37653,0.999549281761497,1,1.31574105567295e-07,37648,0.200591443304341,2.63601828906016e-08,0.285375743851704,19,5995,0.999899845991843,0.700211787003282,1.16702034571937,42357,1.02684330905751e-05,9.19287244407863,0.00524474193234735,0.665394808846515,0.0557828142087674,0.999983316513501,21927,2.16490283148363e-13,0.413782442143261,0.000100007691500639,0,1,0.999999995815797,2.74497872550068e-26,244.75269476414,-0.00687271787063297,0.987400627474215,9.67179871141659,1.66933760683761e-05,0.999954177318763,299.623060817329,0.75,-0.000229461448543833,1,2.17854653038305e-18,0.693524701345828
"01a1aa11-e66e-45a6-b098-ad061b7aa7a4_2WLT",0.999950024679467,9.99450365164201,-0.0060495029389711,1.0310570292058,-0.814613641022379,3.80598089370959,9.81824945262583e-05,1507,-0.0844587263166681,0.999999999352474,0.00219369732920138,52336,0.999550218853392,1,6.19273846476194e-07,52331,0.200605291234146,0.00787620778531331,0.289870718028384,18.97,6187,0.999900054559188,0.468844224713032,0.743167402476708,42379,1.42901882168305e-05,7.63179077350251,0.000159072285255745,0.552960836645491,0.00334018560275837,0.999985070454739,21926,2.38124546057629e-13,0.652655730821828,0.570327969418514,0,1,0.999999701519976,8.61381124235417e-23,244.750027136651,-0.00671076921307045,0.999658343323505,9.92941352107117,1.66933760683761e-05,0.999954177318763,299.595574634768,-0.75,-0.0149998604996316,1,1.39355776880105e-16,0.69352466121484
"01dabc91-ceca-4e20-9b2c-b0c7d9566752_2WH7",0.999949013743746,9.99439255645306,-0.506307619603427,2.06338972283812,-0.859838957321603,3.84909824346158,6.47743681388294e-05,59811,-0.499198758075016,0.999999999584062,0.00101472688559956,52780,0.999541128523646,1,1.20975930699697e-07,52785,0.200588083670126,0.155376681097861,0.298252550011861,19,6399,0.999898032458949,0.496698805815505,0.962170568436219,42600,1.1661401931155e-05,9.34328005056723,0.00665482976487626,0.705558131190412,0.0854723238890781,0.999911639346506,21966,2.26605707289832e-13,0.665738790807234,0.00626883128117928,0,1,0.999999818259035,6.83153401992536e-23,244.756985614433,-1.45390131552981,0.999635284265102,9.97522555790671,1.6692818749374e-05,0.999954177318763,299.104303865598,0.25,-0.0125047203310779,1,1.97421175479162e-17,0.693456219368417
"01dabc91-ceca-4e20-9b2c-b0c7d9566752_2WLT",0.999949829034691,9.99448216836212,-0.609834773088971,2.40624932906522,-0.854078003175208,3.90052815931857,8.58325411599429e-05,58013,-0.101007990371435,0.999999999536086,0.00105767354947117,56026,0.99954846154765,1,1.4151124277025e-07,56031,0.200610006464962,0.000106940644252137,0.285228351439722,19,5991,0.999899663272188,0.501287213690079,1.0233615003165,42305,1.14817430766703e-05,6.21421809475604,0.151951175417494,0.327122208941346,0.349971998995674,1.00008342747633,21898,2.31583116442174e-13,0.560244096861676,0.00108929989396132,0,1,0.999999981231761,5.92634222994772e-25,244.583934329096,0.067624154320039,0.996462227425984,9.84578447643365,1.67165376707176e-05,0.999954177318763,299.201886383392,-0.75,0.00308079579361504,1,1.62548629491338e-17,0.693525133663494
