"measurement_id","mean_ts_acc","max_ts_acc","mean_diff_ts_acc","sd_ts_acc","obs_acc","mean_acc","min_acc","max_acc","abs_mean_acc","sd_acc","E1_acc","E2_acc","E3_acc","skew_acc","kuriosis_acc","Et1_acc","Et2_acc","Et3_acc","skew_t_acc","kuriosis_t_acc","meandiff_acc","meandiff_n_acc","meandiff2_n_acc","meandiff3_n_acc","meandiff5_n_acc","meandiff10_n_acc"
"00e19ae8-3da9-4e76-b9f6-3f565b3e5f06_2WLT",576.17129888035,1152.237,0.0200329815532799,332.623657596344,57518,105.99474856234,5.467466363734,6372.25738595508,105.99474856234,46.9753668143485,105.99474856234,13441.5334450142,9441513.25425221,6.05854560960514,243.101573624329,61232.1253695867,6420447279.52478,4599586241280681,8.94068594542768,406.053203350973,0.00177285899928994,0.271842047434694,0.174961089161911,0.0712957339093035,0.0229412687251211,0.0553660456236211
"00e33622-65c6-47e5-be88-8cd65645add3_2WH3",599.973488131406,1199.974,0.0200312828645355,346.415319020522,59906,105.322615339678,5.556797354006,10482.2925739474,105.322615339678,52.4981101906578,105.322615339678,13848.8588693108,21536690.5523572,13.2147205547319,1065.65412576754,63391.2404173141,7609187834.75146,20971673727770004,31.5955292903738,3747.73249984469,-0.000352013046186382,2.89067600539878,-0.444548012627197,0.0747316894609068,-0.019320650441883,-0.019513164566536
"00ec8065-af5a-48be-98e6-a30dfe404747_2WH3",342.410284840861,684.817,0.0200338472340052,197.666888704182,34184,98.684463326514,29.175366613246,339.488406362601,98.684463326514,5.54461092347491,98.684463326514,9769.36511300441,971332.96083341,1.00593197907854,1.01970367655495,33899.6663375045,1544502814.72758,79469723465949.5,1.30923813151469,1.83386287387506,-9.56397061248566e-05,-0.225553558771214,-0.0530329189983166,-0.0286831577039,-0.00186648711653912,0.00236994164747515
"00ec8065-af5a-48be-98e6-a30dfe404747_2WH5",599.997152456828,1199.988,0.0250271341272655,346.413369198649,47948,100.356518618264,95.921845519158,107.274616857686,100.356518618264,1.07489434010686,100.356518618264,10072.5862029234,1011081.6736801,1.00017213168633,1.0004591488479,60214.519009312,4834918031.37587,436762232265740,1.29915629929812,1.80035981153269,-2.97012762779738e-05,-0.0529151325685051,-0.00580043725965724,-0.0122919985646142,-0.00453709792336219,-0.00239597605468162
"00f1d52e-03cf-4031-a616-9a66f961d994_2WH3",600.061296484258,1199.999,0.0200330378457789,346.419070822008,59902,100.512493822306,0.973579353561,1540.57165824997,100.512493822306,19.3854308680237,100.512493822306,10478.5500708225,1306478.30940056,1.21800876722842,3.3421050034612,60994.8130380888,5357477013.51722,717423851175376,1.82951231169612,9.67288091755959,6.36757001163786e-05,-0.0919036844635405,-0.0380640034094215,-0.0663333310879889,0.0131280685923382,0.0072840161954829
"00f1d52e-03cf-4031-a616-9a66f961d994_327T",599.930171048897,1199.989,0.0200331051752922,346.411053312046,59901,98.8434821562634,93.980043453374,103.30211503243,98.8434821562634,1.12245393180403,98.8434821562634,9771.29384657149,966077.802140598,1.00019341892963,1.00051584241188,59304.5399619548,4691060249.4195,417556788174891,1.29959799340958,1.80188261469969,-2.57031818976794e-05,-0.0147840061294299,0.000829209402906523,-0.00125368386465775,-0.00181335009060715,0.000951650831673317
"01143158-6bc7-4a25-a865-25a8a6b9cc59_2WLT",599.966502336995,1199.979,0.0200313663300225,346.418769840477,59906,101.738970203602,3.054575215912,5393.8361416622,101.738970203602,29.2446641355112,101.738970203602,11206.0541619488,3857143.76287468,3.2515224005929,114.013757981331,60690.7552784331,5534458178.85335,3502726561410996,8.5073357031159,552.197870957309,0.000431037882735334,1.07639056682593,-0.00723542734254619,0.115228714076682,0.0583377418032195,-0.0022222653637635
"0148fd23-2066-4fb4-aadb-9ba294ed4ab1_2VSP",600.033669142933,1199.982,0.0200327540441729,346.415940710701,59902,100.944715218222,8.389583339966,561.371863618532,100.944715218222,11.4253580092647,100.944715218222,10320.3721569217,1081139.27437208,1.03118979527751,1.1268095221377,60643.05813596,5076903918.81652,521273464125339,1.44101068392052,2.6731302055661,0.000413824317052253,0.113428614783495,0.139187944369414,0.0712202942018608,0.0177428727124936,0.00192370456509161
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2WLT",599.778770349711,1199.99,0.0200407335036825,346.477771198963,59878,91.9555155917949,86.956690651589,97.794438748162,91.9555155917949,1.11039505183789,91.9555155917949,8457.04980433249,777899.185142922,1.00021873326893,1.00058341073357,55131.0429643159,4051743087.90311,334985809077923,1.29886364058622,1.7996006324137,-2.71457504778129e-05,-0.044853353052043,0.0128307862306355,0.00158888432193417,0.00242090647179085,0.00082052411767664
"014ccd5a-7f4a-480b-8ab5-1ed8601d0721_2ZX6",600.001939598715,1199.996,0.0100113128211974,346.409827385669,119865,110.783802850946,0.430327325218,23078.5019356469,110.783802850946,121.640352920474,110.783802850946,27069.3029907333,239341422.633313,53.7405687376471,6761.53882987178,65626.9843491439,8966667540.25019,14645207787568690,17.2484048185827,909.27468940055,0.000199864426152926,-37.8617121936748,-16.2189697439789,-6.82289512240725,-0.897648797309489,-0.293784250216033
